"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Embarked","HasCabinNum","Friend_size","Fare_pp","Title","Deck","Ticket_class","Family_size","Group_size","Age_group"
1,0,3,"male",22,1,0,"A/5 21171","S","HasNo",1,7.25,"Mr","U","A",2,2,"20-29"
2,1,1,"female",38,1,0,"PC 17599","C","Has",2,35.64165,"Mrs","C","P",2,2,"30-39"
3,1,3,"female",26,0,0,"STON/O2. 3101282","S","HasNo",1,7.925,"Miss","U","S",1,1,"20-29"
4,1,1,"female",35,1,0,"113803","S","Has",2,26.55,"Mrs","C","1",2,2,"30-39"
5,0,3,"male",35,0,0,"373450","S","HasNo",1,8.05,"Mr","U","3",1,1,"30-39"
6,0,3,"male",27.4318181818182,0,0,"330877","Q","HasNo",1,8.4583,"Mr","U","3",1,1,"20-29"
7,0,1,"male",54,0,0,"17463","S","Has",2,25.93125,"Mr","E","1",1,2,"50-59"
8,0,3,"male",2,3,1,"349909","S","HasNo",5,4.215,"Master","U","3",5,5,"0-9"
9,1,3,"female",27,0,2,"347742","S","HasNo",3,3.7111,"Mrs","U","3",3,3,"20-29"
10,1,2,"female",14,1,0,"237736","C","HasNo",2,15.0354,"Mrs","U","2",2,2,"10-19"
11,1,3,"female",4,1,1,"PP 9549","S","Has",3,5.56666666666667,"Miss","G","P",3,3,"0-9"
12,1,1,"female",58,0,0,"113783","S","Has",1,26.55,"Miss","C","1",1,1,"50-59"
13,0,3,"male",20,0,0,"A/5. 2151","S","HasNo",1,8.05,"Mr","U","A",1,1,"10-19"
14,0,3,"male",39,1,5,"347082","S","HasNo",7,4.46785714285714,"Mr","U","3",7,7,"30-39"
15,0,3,"female",14,0,0,"350406","S","HasNo",1,7.8542,"Miss","U","3",1,1,"10-19"
16,1,2,"female",55,0,0,"248706","S","HasNo",1,16,"Mrs","U","2",1,1,"50-59"
17,0,3,"male",2,4,1,"382652","Q","HasNo",6,4.85416666666667,"Master","U","3",6,6,"0-9"
18,1,2,"male",32.1026315789474,0,0,"244373","S","HasNo",1,13,"Mr","U","2",1,1,"30-39"
19,0,3,"female",31,1,0,"345763","S","HasNo",2,9,"Mrs","U","3",2,2,"30-39"
20,1,3,"female",27.4318181818182,0,0,"2649","C","HasNo",1,7.225,"Mrs","U","2",1,1,"20-29"
21,0,2,"male",35,0,0,"239865","S","HasNo",2,13,"Mr","U","2",1,2,"30-39"
22,1,2,"male",34,0,0,"248698","S","Has",1,13,"Mr","D","2",1,1,"30-39"
23,1,3,"female",15,0,0,"330923","Q","HasNo",1,8.0292,"Miss","U","3",1,1,"10-19"
24,1,1,"male",28,0,0,"113788","S","Has",1,35.5,"Mr","A","1",1,1,"20-29"
25,0,3,"female",8,3,1,"349909","S","HasNo",5,4.215,"Miss","U","3",5,5,"0-9"
26,1,3,"female",38,1,5,"347077","S","HasNo",7,4.48392857142857,"Mrs","U","3",7,7,"30-39"
27,0,3,"male",27.4318181818182,0,0,"2631","C","HasNo",1,7.225,"Mr","U","2",1,1,"20-29"
28,0,1,"male",19,3,2,"19950","S","Has",6,43.8333333333333,"Mr","C","1",6,6,"10-19"
29,1,3,"female",27.4318181818182,0,0,"330959","Q","HasNo",1,7.8792,"Miss","U","3",1,1,"20-29"
30,0,3,"male",27.4318181818182,0,0,"349216","S","HasNo",1,7.8958,"Mr","U","3",1,1,"20-29"
31,0,1,"male",40,0,0,"PC 17601","C","HasNo",1,27.7208,"Other","U","P",1,1,"30-39"
32,1,1,"female",40.5474308300395,1,0,"PC 17569","C","Has",3,48.8402666666667,"Mrs","B","P",2,3,"40-49"
33,1,3,"female",27.4318181818182,0,0,"335677","Q","HasNo",1,7.75,"Miss","U","3",1,1,"20-29"
34,0,2,"male",66,0,0,"C.A. 24579","S","HasNo",1,10.5,"Mr","U","C",1,1,"60-69"
35,0,1,"male",28,1,0,"PC 17604","C","HasNo",2,41.0854,"Mr","U","P",2,2,"20-29"
36,0,1,"male",42,1,0,"113789","S","HasNo",2,26,"Mr","U","1",2,2,"40-49"
37,1,3,"male",27.4318181818182,0,0,"2677","C","HasNo",1,7.2292,"Mr","U","2",1,1,"20-29"
38,0,3,"male",21,0,0,"A./5. 2152","S","HasNo",1,8.05,"Mr","U","A",1,1,"20-29"
39,0,3,"female",18,2,0,"345764","S","HasNo",2,9,"Miss","U","3",3,3,"10-19"
40,1,3,"female",14,1,0,"2651","C","HasNo",2,5.62085,"Miss","U","2",2,2,"10-19"
41,0,3,"female",40,1,0,"7546","S","HasNo",1,9.475,"Mrs","U","7",2,2,"30-39"
42,0,2,"female",27,1,0,"11668","S","HasNo",2,10.5,"Mrs","U","1",2,2,"20-29"
43,0,3,"male",27.4318181818182,0,0,"349253","C","HasNo",1,7.8958,"Mr","U","3",1,1,"20-29"
44,1,2,"female",3,1,2,"SC/Paris 2123","C","HasNo",4,10.3948,"Miss","U","S",4,4,"0-9"
45,1,3,"female",19,0,0,"330958","Q","HasNo",1,7.8792,"Miss","U","3",1,1,"10-19"
46,0,3,"male",27.4318181818182,0,0,"S.C./A.4. 23567","S","HasNo",1,8.05,"Mr","U","S",1,1,"20-29"
47,0,3,"male",27.4318181818182,1,0,"370371","Q","HasNo",2,7.75,"Mr","U","3",2,2,"20-29"
48,1,3,"female",27.4318181818182,0,0,"14311","Q","HasNo",1,7.75,"Miss","U","1",1,1,"20-29"
49,0,3,"male",27.4318181818182,2,0,"2662","C","HasNo",3,7.2264,"Mr","U","2",3,3,"20-29"
50,0,3,"female",18,1,0,"349237","S","HasNo",2,8.9,"Mrs","U","3",2,2,"10-19"
51,0,3,"male",7,4,1,"3101295","S","HasNo",7,5.66964285714286,"Master","U","3",6,7,"0-9"
52,0,3,"male",21,0,0,"A/4. 39886","S","HasNo",1,7.8,"Mr","U","A",1,1,"20-29"
53,1,1,"female",49,1,0,"PC 17572","C","Has",3,25.5764,"Mrs","D","P",2,3,"40-49"
54,1,2,"female",29,1,0,"2926","S","HasNo",2,13,"Mrs","U","2",2,2,"20-29"
55,0,1,"male",65,0,1,"113509","C","Has",2,30.9896,"Mr","B","1",2,2,"60-69"
56,1,1,"male",40.5474308300395,0,0,"19947","S","Has",1,35.5,"Mr","C","1",1,1,"40-49"
57,1,2,"female",21,0,0,"C.A. 31026","S","HasNo",1,10.5,"Miss","U","C",1,1,"20-29"
58,0,3,"male",28.5,0,0,"2697","C","HasNo",1,7.2292,"Mr","U","2",1,1,"20-29"
59,1,2,"female",5,1,2,"C.A. 34651","S","HasNo",4,6.9375,"Miss","U","C",4,4,"0-9"
60,0,3,"male",11,5,2,"CA 2144","S","HasNo",8,5.8625,"Master","U","C",8,8,"10-19"
61,0,3,"male",22,0,0,"2669","C","HasNo",1,7.2292,"Mr","U","2",1,1,"20-29"
62,1,1,"female",38,0,0,"113572","C","Has",2,40,"Miss","B","1",1,2,"30-39"
63,0,1,"male",45,1,0,"36973","S","Has",2,41.7375,"Mr","C","3",2,2,"40-49"
64,0,3,"male",4,3,2,"347088","S","HasNo",6,4.65,"Master","U","3",6,6,"0-9"
65,0,1,"male",40.5474308300395,0,0,"PC 17605","C","HasNo",1,27.7208,"Mr","U","P",1,1,"40-49"
66,1,3,"male",4.484375,1,1,"2661","C","HasNo",3,5.08193333333333,"Master","U","2",3,3,"0-9"
67,1,2,"female",29,0,0,"C.A. 29395","S","Has",1,10.5,"Mrs","F","C",1,1,"20-29"
68,0,3,"male",19,0,0,"S.P. 3464","S","HasNo",1,8.1583,"Mr","U","S",1,1,"10-19"
69,1,3,"female",17,4,2,"3101281","S","HasNo",1,7.925,"Miss","U","3",7,7,"10-19"
70,0,3,"male",26,2,0,"315151","S","HasNo",1,8.6625,"Mr","U","3",3,3,"20-29"
71,0,2,"male",32,0,0,"C.A. 33111","S","HasNo",1,10.5,"Mr","U","C",1,1,"30-39"
72,0,3,"female",16,5,2,"CA 2144","S","HasNo",8,5.8625,"Miss","U","C",8,8,"10-19"
73,0,2,"male",21,0,0,"S.O.C. 14879","S","HasNo",7,10.5,"Mr","U","S",1,7,"20-29"
74,0,3,"male",26,1,0,"2680","C","HasNo",2,7.2271,"Mr","U","2",2,2,"20-29"
75,1,3,"male",32,0,0,"1601","S","HasNo",8,7.061975,"Mr","U","1",1,8,"30-39"
76,0,3,"male",25,0,0,"348123","S","Has",1,7.65,"Mr","F","3",1,1,"20-29"
77,0,3,"male",27.4318181818182,0,0,"349208","S","HasNo",1,7.8958,"Mr","U","3",1,1,"20-29"
78,0,3,"male",27.4318181818182,0,0,"374746","S","HasNo",1,8.05,"Mr","U","3",1,1,"20-29"
79,1,2,"male",0.83,0,2,"248738","S","HasNo",3,9.66666666666667,"Master","U","2",3,3,"0-9"
80,1,3,"female",30,0,0,"364516","S","HasNo",2,6.2375,"Miss","U","3",1,2,"20-29"
81,0,3,"male",22,0,0,"345767","S","HasNo",1,9,"Mr","U","3",1,1,"20-29"
82,1,3,"male",29,0,0,"345779","S","HasNo",1,9.5,"Mr","U","3",1,1,"20-29"
83,1,3,"female",27.4318181818182,0,0,"330932","Q","HasNo",1,7.7875,"Miss","U","3",1,1,"20-29"
84,0,1,"male",28,0,0,"113059","S","HasNo",2,23.55,"Mr","U","1",1,2,"20-29"
85,1,2,"female",17,0,0,"SO/C 14885","S","HasNo",1,10.5,"Miss","U","S",1,1,"10-19"
86,1,3,"female",33,3,0,"3101278","S","HasNo",2,7.925,"Mrs","U","3",4,4,"30-39"
87,0,3,"male",16,1,3,"W./C. 6608","S","HasNo",5,6.875,"Mr","U","W",5,5,"10-19"
88,0,3,"male",27.4318181818182,0,0,"SOTON/OQ 392086","S","HasNo",1,8.05,"Mr","U","S",1,1,"20-29"
89,1,1,"female",23,3,2,"19950","S","Has",6,43.8333333333333,"Miss","C","1",6,6,"20-29"
90,0,3,"male",24,0,0,"343275","S","HasNo",1,8.05,"Mr","U","3",1,1,"20-29"
91,0,3,"male",29,0,0,"343276","S","HasNo",1,8.05,"Mr","U","3",1,1,"20-29"
92,0,3,"male",20,0,0,"347466","S","HasNo",1,7.8542,"Mr","U","3",1,1,"10-19"
93,0,1,"male",46,1,0,"W.E.P. 5734","S","Has",2,30.5875,"Mr","E","W",2,2,"40-49"
94,0,3,"male",26,1,2,"C.A. 2315","S","HasNo",4,5.14375,"Mr","U","C",4,4,"20-29"
95,0,3,"male",59,0,0,"364500","S","HasNo",1,7.25,"Mr","U","3",1,1,"50-59"
96,0,3,"male",27.4318181818182,0,0,"374910","S","HasNo",1,8.05,"Mr","U","3",1,1,"20-29"
97,0,1,"male",71,0,0,"PC 17754","C","Has",1,34.6542,"Mr","A","P",1,1,"70-79"
98,1,1,"male",23,0,1,"PC 17759","C","Has",2,31.67915,"Mr","D","P",2,2,"20-29"
99,1,2,"female",34,0,1,"231919","S","HasNo",2,11.5,"Mrs","U","2",2,2,"30-39"
100,0,2,"male",34,1,0,"244367","S","HasNo",2,13,"Mr","U","2",2,2,"30-39"
101,0,3,"female",28,0,0,"349245","S","HasNo",1,7.8958,"Miss","U","3",1,1,"20-29"
102,0,3,"male",27.4318181818182,0,0,"349215","S","HasNo",1,7.8958,"Mr","U","3",1,1,"20-29"
103,0,1,"male",21,0,1,"35281","S","Has",2,38.64375,"Mr","D","3",2,2,"20-29"
104,0,3,"male",33,0,0,"7540","S","HasNo",1,8.6542,"Mr","U","7",1,1,"30-39"
105,0,3,"male",37,2,0,"3101276","S","HasNo",1,7.925,"Mr","U","3",3,3,"30-39"
106,0,3,"male",28,0,0,"349207","S","HasNo",1,7.8958,"Mr","U","3",1,1,"20-29"
107,1,3,"female",21,0,0,"343120","S","HasNo",1,7.65,"Miss","U","3",1,1,"20-29"
108,1,3,"male",27.4318181818182,0,0,"312991","S","HasNo",1,7.775,"Mr","U","3",1,1,"20-29"
109,0,3,"male",38,0,0,"349249","S","HasNo",1,7.8958,"Mr","U","3",1,1,"30-39"
110,1,3,"female",27.4318181818182,1,0,"371110","Q","HasNo",3,8.05,"Miss","U","3",2,3,"20-29"
111,0,1,"male",47,0,0,"110465","S","Has",2,26,"Mr","C","1",1,2,"40-49"
112,0,3,"female",14.5,1,0,"2665","C","HasNo",2,7.2271,"Miss","U","2",2,2,"10-19"
113,0,3,"male",22,0,0,"324669","S","HasNo",1,8.05,"Mr","U","3",1,1,"20-29"
114,0,3,"female",20,1,0,"4136","S","HasNo",1,9.825,"Miss","U","4",2,2,"10-19"
115,0,3,"female",17,0,0,"2627","C","HasNo",2,7.22915,"Miss","U","2",1,2,"10-19"
116,0,3,"male",21,0,0,"STON/O 2. 3101294","S","HasNo",1,7.925,"Mr","U","S",1,1,"20-29"
117,0,3,"male",70.5,0,0,"370369","Q","HasNo",1,7.75,"Mr","U","3",1,1,"70-79"
118,0,2,"male",29,1,0,"11668","S","HasNo",2,10.5,"Mr","U","1",2,2,"20-29"
119,0,1,"male",24,0,1,"PC 17558","C","Has",3,82.5069333333333,"Mr","B","P",2,3,"20-29"
120,0,3,"female",2,4,2,"347082","S","HasNo",7,4.46785714285714,"Miss","U","3",7,7,"0-9"
121,0,2,"male",21,2,0,"S.O.C. 14879","S","HasNo",7,10.5,"Mr","U","S",3,7,"20-29"
122,0,3,"male",27.4318181818182,0,0,"A4. 54510","S","HasNo",1,8.05,"Mr","U","A",1,1,"20-29"
123,0,2,"male",32.5,1,0,"237736","C","HasNo",2,15.0354,"Mr","U","2",2,2,"30-39"
124,1,2,"female",32.5,0,0,"27267","S","Has",1,13,"Miss","E","2",1,1,"30-39"
125,0,1,"male",54,0,1,"35281","S","Has",2,38.64375,"Mr","D","3",2,2,"50-59"
126,1,3,"male",12,1,0,"2651","C","HasNo",2,5.62085,"Master","U","2",2,2,"10-19"
127,0,3,"male",27.4318181818182,0,0,"370372","Q","HasNo",1,7.75,"Mr","U","3",1,1,"20-29"
128,1,3,"male",24,0,0,"C 17369","S","HasNo",1,7.1417,"Mr","U","C",1,1,"20-29"
129,1,3,"female",20.0475384615385,1,1,"2668","C","Has",3,7.45276666666667,"Miss","F","2",3,3,"20-29"
130,0,3,"male",45,0,0,"347061","S","HasNo",1,6.975,"Mr","U","3",1,1,"40-49"
131,0,3,"male",33,0,0,"349241","C","HasNo",1,7.8958,"Mr","U","3",1,1,"30-39"
132,0,3,"male",20,0,0,"SOTON/O.Q. 3101307","S","HasNo",1,7.05,"Mr","U","S",1,1,"10-19"
133,0,3,"female",47,1,0,"A/5. 3337","S","HasNo",2,7.25,"Mrs","U","A",2,2,"40-49"
134,1,2,"female",29,1,0,"228414","S","HasNo",2,13,"Mrs","U","2",2,2,"20-29"
135,0,2,"male",25,0,0,"C.A. 29178","S","HasNo",1,13,"Mr","U","C",1,1,"20-29"
136,0,2,"male",23,0,0,"SC/PARIS 2133","C","HasNo",1,15.0458,"Mr","U","S",1,1,"20-29"
137,1,1,"female",19,0,2,"11752","S","Has",1,26.2833,"Miss","D","1",3,3,"10-19"
138,0,1,"male",37,1,0,"113803","S","Has",2,26.55,"Mr","C","1",2,2,"30-39"
139,0,3,"male",16,0,0,"7534","S","HasNo",1,9.2167,"Mr","U","7",1,1,"10-19"
140,0,1,"male",24,0,0,"PC 17593","C","Has",2,39.6,"Mr","B","P",1,2,"20-29"
141,0,3,"female",25.7082,0,2,"2678","C","HasNo",3,5.08193333333333,"Mrs","U","2",3,3,"20-29"
142,1,3,"female",22,0,0,"347081","S","HasNo",1,7.75,"Miss","U","3",1,1,"20-29"
143,1,3,"female",24,1,0,"STON/O2. 3101279","S","HasNo",2,7.925,"Mrs","U","S",2,2,"20-29"
144,0,3,"male",19,0,0,"365222","Q","HasNo",1,6.75,"Mr","U","3",1,1,"10-19"
145,0,2,"male",18,0,0,"231945","S","HasNo",1,11.5,"Mr","U","2",1,1,"10-19"
146,0,2,"male",19,1,1,"C.A. 33112","S","HasNo",4,9.1875,"Mr","U","C",3,4,"10-19"
147,1,3,"male",27,0,0,"350043","S","HasNo",1,7.7958,"Mr","U","3",1,1,"20-29"
148,0,3,"female",9,2,2,"W./C. 6608","S","HasNo",5,6.875,"Miss","U","W",5,5,"0-9"
149,0,2,"male",36.5,0,2,"230080","S","Has",3,8.66666666666667,"Mr","F","2",3,3,"30-39"
150,0,2,"male",42,0,0,"244310","S","HasNo",1,13,"Other","U","2",1,1,"40-49"
151,0,2,"male",51,0,0,"S.O.P. 1166","S","HasNo",1,12.525,"Other","U","S",1,1,"50-59"
152,1,1,"female",22,1,0,"113776","S","Has",2,33.3,"Mrs","C","1",2,2,"20-29"
153,0,3,"male",55.5,0,0,"A.5. 11206","S","HasNo",1,8.05,"Mr","U","A",1,1,"50-59"
154,0,3,"male",40.5,0,2,"A/5. 851","S","HasNo",3,4.83333333333333,"Mr","U","A",3,3,"40-49"
155,0,3,"male",27.4318181818182,0,0,"Fa 265302","S","HasNo",1,7.3125,"Mr","U","F",1,1,"20-29"
156,0,1,"male",51,0,1,"PC 17597","C","HasNo",2,30.6896,"Mr","U","P",2,2,"50-59"
157,1,3,"female",16,0,0,"35851","Q","HasNo",1,7.7333,"Miss","U","3",1,1,"10-19"
158,0,3,"male",30,0,0,"SOTON/OQ 392090","S","HasNo",1,8.05,"Mr","U","S",1,1,"20-29"
159,0,3,"male",27.4318181818182,0,0,"315037","S","HasNo",1,8.6625,"Mr","U","3",1,1,"20-29"
160,0,3,"male",9.6,8,2,"CA. 2343","S","HasNo",11,6.32272727272727,"Master","U","C",11,11,"0-9"
