"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Embarked","HasCabinNum","Friend_size","Fare_pp","Title","Deck","Ticket_class","Family_size","Group_size","Age_group"
1,0,3,"male",22,1,0,"A/5 21171","S","No",1,7.25,"Mr","U","A",2,2,"20-29"
2,1,1,"female",38,1,0,"PC 17599","C","Yes",2,35.64165,"Mrs","C","P",2,2,"30-39"
3,1,3,"female",26,0,0,"STON/O2. 3101282","S","No",1,7.925,"Miss","U","S",1,1,"20-29"
4,1,1,"female",35,1,0,"113803","S","Yes",2,26.55,"Mrs","C","1",2,2,"30-39"
5,0,3,"male",35,0,0,"373450","S","No",1,8.05,"Mr","U","3",1,1,"30-39"
6,0,3,"male",27.4318181818182,0,0,"330877","Q","No",1,8.4583,"Mr","U","3",1,1,"20-29"
7,0,1,"male",54,0,0,"17463","S","Yes",2,25.93125,"Mr","E","1",1,2,"50-59"
8,0,3,"male",2,3,1,"349909","S","No",5,4.215,"Master","U","3",5,5,"0-9"
9,1,3,"female",27,0,2,"347742","S","No",3,3.7111,"Mrs","U","3",3,3,"20-29"
10,1,2,"female",14,1,0,"237736","C","No",2,15.0354,"Mrs","U","2",2,2,"10-19"
11,1,3,"female",4,1,1,"PP 9549","S","Yes",3,5.56666666666667,"Miss","G","P",3,3,"0-9"
12,1,1,"female",58,0,0,"113783","S","Yes",1,26.55,"Miss","C","1",1,1,"50-59"
13,0,3,"male",20,0,0,"A/5. 2151","S","No",1,8.05,"Mr","U","A",1,1,"10-19"
14,0,3,"male",39,1,5,"347082","S","No",7,4.46785714285714,"Mr","U","3",7,7,"30-39"
15,0,3,"female",14,0,0,"350406","S","No",1,7.8542,"Miss","U","3",1,1,"10-19"
16,1,2,"female",55,0,0,"248706","S","No",1,16,"Mrs","U","2",1,1,"50-59"
17,0,3,"male",2,4,1,"382652","Q","No",6,4.85416666666667,"Master","U","3",6,6,"0-9"
18,1,2,"male",32.1026315789474,0,0,"244373","S","No",1,13,"Mr","U","2",1,1,"30-39"
19,0,3,"female",31,1,0,"345763","S","No",2,9,"Mrs","U","3",2,2,"30-39"
20,1,3,"female",27.4318181818182,0,0,"2649","C","No",1,7.225,"Mrs","U","2",1,1,"20-29"
21,0,2,"male",35,0,0,"239865","S","No",2,13,"Mr","U","2",1,2,"30-39"
22,1,2,"male",34,0,0,"248698","S","Yes",1,13,"Mr","D","2",1,1,"30-39"
23,1,3,"female",15,0,0,"330923","Q","No",1,8.0292,"Miss","U","3",1,1,"10-19"
24,1,1,"male",28,0,0,"113788","S","Yes",1,35.5,"Mr","A","1",1,1,"20-29"
25,0,3,"female",8,3,1,"349909","S","No",5,4.215,"Miss","U","3",5,5,"0-9"
26,1,3,"female",38,1,5,"347077","S","No",7,4.48392857142857,"Mrs","U","3",7,7,"30-39"
27,0,3,"male",27.4318181818182,0,0,"2631","C","No",1,7.225,"Mr","U","2",1,1,"20-29"
28,0,1,"male",19,3,2,"19950","S","Yes",6,43.8333333333333,"Mr","C","1",6,6,"10-19"
29,1,3,"female",27.4318181818182,0,0,"330959","Q","No",1,7.8792,"Miss","U","3",1,1,"20-29"
30,0,3,"male",27.4318181818182,0,0,"349216","S","No",1,7.8958,"Mr","U","3",1,1,"20-29"
31,0,1,"male",40,0,0,"PC 17601","C","No",1,27.7208,"Other","U","P",1,1,"30-39"
32,1,1,"female",40.5474308300395,1,0,"PC 17569","C","Yes",3,48.8402666666667,"Mrs","B","P",2,3,"40-49"
33,1,3,"female",27.4318181818182,0,0,"335677","Q","No",1,7.75,"Miss","U","3",1,1,"20-29"
34,0,2,"male",66,0,0,"C.A. 24579","S","No",1,10.5,"Mr","U","C",1,1,"60-69"
35,0,1,"male",28,1,0,"PC 17604","C","No",2,41.0854,"Mr","U","P",2,2,"20-29"
36,0,1,"male",42,1,0,"113789","S","No",2,26,"Mr","U","1",2,2,"40-49"
37,1,3,"male",27.4318181818182,0,0,"2677","C","No",1,7.2292,"Mr","U","2",1,1,"20-29"
38,0,3,"male",21,0,0,"A./5. 2152","S","No",1,8.05,"Mr","U","A",1,1,"20-29"
39,0,3,"female",18,2,0,"345764","S","No",2,9,"Miss","U","3",3,3,"10-19"
40,1,3,"female",14,1,0,"2651","C","No",2,5.62085,"Miss","U","2",2,2,"10-19"
41,0,3,"female",40,1,0,"7546","S","No",1,9.475,"Mrs","U","7",2,2,"30-39"
42,0,2,"female",27,1,0,"11668","S","No",2,10.5,"Mrs","U","1",2,2,"20-29"
43,0,3,"male",27.4318181818182,0,0,"349253","C","No",1,7.8958,"Mr","U","3",1,1,"20-29"
44,1,2,"female",3,1,2,"SC/Paris 2123","C","No",4,10.3948,"Miss","U","S",4,4,"0-9"
45,1,3,"female",19,0,0,"330958","Q","No",1,7.8792,"Miss","U","3",1,1,"10-19"
46,0,3,"male",27.4318181818182,0,0,"S.C./A.4. 23567","S","No",1,8.05,"Mr","U","S",1,1,"20-29"
47,0,3,"male",27.4318181818182,1,0,"370371","Q","No",2,7.75,"Mr","U","3",2,2,"20-29"
48,1,3,"female",27.4318181818182,0,0,"14311","Q","No",1,7.75,"Miss","U","1",1,1,"20-29"
49,0,3,"male",27.4318181818182,2,0,"2662","C","No",3,7.2264,"Mr","U","2",3,3,"20-29"
50,0,3,"female",18,1,0,"349237","S","No",2,8.9,"Mrs","U","3",2,2,"10-19"
51,0,3,"male",7,4,1,"3101295","S","No",7,5.66964285714286,"Master","U","3",6,7,"0-9"
52,0,3,"male",21,0,0,"A/4. 39886","S","No",1,7.8,"Mr","U","A",1,1,"20-29"
53,1,1,"female",49,1,0,"PC 17572","C","Yes",3,25.5764,"Mrs","D","P",2,3,"40-49"
54,1,2,"female",29,1,0,"2926","S","No",2,13,"Mrs","U","2",2,2,"20-29"
55,0,1,"male",65,0,1,"113509","C","Yes",2,30.9896,"Mr","B","1",2,2,"60-69"
56,1,1,"male",40.5474308300395,0,0,"19947","S","Yes",1,35.5,"Mr","C","1",1,1,"40-49"
57,1,2,"female",21,0,0,"C.A. 31026","S","No",1,10.5,"Miss","U","C",1,1,"20-29"
58,0,3,"male",28.5,0,0,"2697","C","No",1,7.2292,"Mr","U","2",1,1,"20-29"
59,1,2,"female",5,1,2,"C.A. 34651","S","No",4,6.9375,"Miss","U","C",4,4,"0-9"
60,0,3,"male",11,5,2,"CA 2144","S","No",8,5.8625,"Master","U","C",8,8,"10-19"
61,0,3,"male",22,0,0,"2669","C","No",1,7.2292,"Mr","U","2",1,1,"20-29"
62,1,1,"female",38,0,0,"113572","C","Yes",2,40,"Miss","B","1",1,2,"30-39"
63,0,1,"male",45,1,0,"36973","S","Yes",2,41.7375,"Mr","C","3",2,2,"40-49"
64,0,3,"male",4,3,2,"347088","S","No",6,4.65,"Master","U","3",6,6,"0-9"
65,0,1,"male",40.5474308300395,0,0,"PC 17605","C","No",1,27.7208,"Mr","U","P",1,1,"40-49"
66,1,3,"male",4.484375,1,1,"2661","C","No",3,5.08193333333333,"Master","U","2",3,3,"0-9"
67,1,2,"female",29,0,0,"C.A. 29395","S","Yes",1,10.5,"Mrs","F","C",1,1,"20-29"
68,0,3,"male",19,0,0,"S.P. 3464","S","No",1,8.1583,"Mr","U","S",1,1,"10-19"
69,1,3,"female",17,4,2,"3101281","S","No",1,7.925,"Miss","U","3",7,7,"10-19"
70,0,3,"male",26,2,0,"315151","S","No",1,8.6625,"Mr","U","3",3,3,"20-29"
71,0,2,"male",32,0,0,"C.A. 33111","S","No",1,10.5,"Mr","U","C",1,1,"30-39"
72,0,3,"female",16,5,2,"CA 2144","S","No",8,5.8625,"Miss","U","C",8,8,"10-19"
73,0,2,"male",21,0,0,"S.O.C. 14879","S","No",7,10.5,"Mr","U","S",1,7,"20-29"
